causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Gastritis and duodenitis,"35,393","20,416","14,978",0,428,92,604,2957,3142,4019,"9,174",0,66,184,257,1168,1260,2480,"9,561"
Paralytic ileus and intestinal obstruction,200256,105971,94285,375,10658,3363,4740,13545,11718,18115,43456,300,7947,2140,3779,6732,8325,13027,52037
Inflammatory bowel disease,"24,820","12,233","12,587",0,385,131,429,1657,1654,2314,"5,664",0,477,170,464,1206,1205,1801,"7,263"
Gallbladder and biliary diseases,"107,179","44,951","62,228",0,165,379,639,"2,934","4,141","7,270","29,424",0,475,786,697,"3,266","4,378","8,290","44,335"
Pancreatitis,"104,112","65,319","38,793",0,66,123,3833,19924,13426,11528,16420,0,170,252,1191,5396,5446,7070,19269
Other digestive diseases,"361,230","180,629","180,601",136,3312,1428,2857,15837,23926,35822,97311,72,1604,1060,1798,7912,12725,23995,131435
Genitourinary diseases,"1,482,285","766,903","715,382",95,"8,941",7053,22484,"79,896","102,836","153,716",391883,60,"8,703",6485,16620,"60,741","83,171",120648,418953
Kidney diseases,"1,211,086","632,771","578,315",0,"5,975","5,882","18,857","68,567","89,304","131,064",313122,0,"6,054","4,962","12,860","50,702","70,234",101516,"331,988"
Acute glomerulonephritis,"10,785","5,947","4,838",0,176,185,304,948,757,1175,2402,0,199,276,243,608,477,849,2186
Chronic kidney disease due to diabetes,"415,427","216,050","199,376",0,36,94,"2,416","24,168",38520,53597,97220,0,42,92,"1,954","17,697",30036,42587,106969
Other chronic kidney disease,"784,874","410,774","374,100",0,"5,763","5,603","16,137","43,451","50,027","76,293","213,500",0,"5,813","4,593","10,663","32,398","39,721","58,079","222,833"
Benign prostatic hyperplasia,"5,673","5,673",0,0,0,0,0,16,99,434,"5,125",0,0,0,0,0,0,0,0
Urolithiasis,"8,263","4,709","3,554",0,9,23,49,386,635,"1,168","2,439",0,11,22,43,382,442,717,"1,937"
Other urinary diseases,"250,034","123,749","126,285",95,"2,957","1,148","3,578","10,926","12,799","21,049","71,198",60,"2,638","1,398","3,132","7,926","11,122","17,070","82,939"
Infertility,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gynecological diseases,"7,228",0,"7,228",0,0,0,0,0,0,0,0,0,0,104,585,"1,730","1,373","1,346","2,090"
