causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Poisonings,"84,278","52,892","31,386",757,"9,349","3,399","6,348","12,445","7,167","6,634","6,794",323,"8,269","2,444","3,045","4,866","3,130","3,446","5,862"
Falls,"684,277","376,694","307,583","1,193","8,800","8,860","20,087","57,463","45,333","57,578","177,379","1,247","7,430","4,287","4,823","11,958","15,918","37,447","224,471"
"Fire, heat and hot substances","114,144","58,347","55,796",610,"10,949","3,411","5,791","12,518","6,971","7,128","10,969",449,"12,115","3,893","7,322","9,560","4,371","5,309","12,776"
Drowning,"235,642","161,386","74,256",582,"26,261","24,012","29,557","33,920","15,368","13,516","18,170",382,"20,573","11,124","5,900","7,938","5,708","6,812","15,819"
Exposure to mechanical forces,"121,556","89,139","32,417","2,717","6,724","4,346","16,581","29,116","13,201","8,592","7,863","2,302","6,516","2,655","3,133","5,492","3,100","3,381","5,838"
Natural disasters,"6,092","3,748","2,344",23,266,552,"1,045",995,356,269,241,17,261,412,455,499,225,212,264
Other unintentional injuries,"631,108","390,385","240,723","7,938","38,817","19,791","47,706","87,480","48,889","49,045","90,719","6,478","33,754","14,030","15,087","29,306","21,338","27,289","93,442"
Intentional injuries,"1,250,368","913,532","336,836","2,765","8,823","17,443","267,177","328,363","119,780","84,267","84,912","2,165","8,924","11,537","86,024","96,853","43,559","37,011","50,763"
Self-harm,"703,220","486,881","216,340",0,0,"6,231","103,493","174,297","76,160","58,899","67,802",0,0,"3,965","54,228","62,296","31,490","26,784","37,577"
Interpersonal violence,"474,691","381,323","93,368",0,"5,276","8,686","148,289","143,315","40,342","22,307","13,108",0,"4,729","5,115","27,894","30,525","9,777","7,481","7,847"
Collective violence and legal intervention,"72,457","45,328","27,129","2,765","3,548","2,525","15,396","10,751","3,278","3,062","4,002","2,165","4,194","2,458","3,902","4,031","2,293","2,747","5,339"
