causes,total,male,female,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years ,0-28 days ,1-59 months ,5-14 years ,15-29 years ,30-49 years ,50-59 years ,60-69 years ,70+ years 
Road injury,"1,167,008","849,999","317,009","1,999","37,980","63,127","249,329","280,961","86,926","67,188","62,489","1,109","30,069","39,099","66,040","80,161","30,732","30,572","39,228"
Poisonings,"93,096","60,339","32,756","1,339","10,537","5,008","9,038","17,082","6,998","5,860","4,477",662,"9,317","3,839","4,777","5,762","2,362","2,387","3,651"
Falls,"446,047","252,572","193,475","2,074","12,137","11,011","23,880","52,791","29,319","35,778","85,581","2,025","10,886","5,712","6,207","11,467","10,582","24,707","121,890"
"Fire, heat and hot substances","124,426","67,957","56,469",770,"11,911","5,317","8,945","17,494","7,509","7,178","8,833",636,"11,787","5,553","10,394","9,819","3,742","4,518","10,019"
Drowning,"359,608","238,279","121,329","1,092","56,109","51,353","47,952","44,249","14,106","11,532","11,885",943,"47,973","27,274","12,375","11,812","4,634","5,324","10,994"
Exposure to mechanical forces,"126,878","95,695","31,184","4,636","8,039","6,500","21,970","31,614","10,395","6,801","5,739","3,133","6,601","3,687","3,958","5,476","2,246","2,429","3,653"
Natural disasters,"8,914","5,487","3,428",21,428,913,"1,619","1,434",430,336,306,16,416,680,704,708,271,273,360
Other unintentional injuries,"658,783","421,695","237,088","18,488","46,931","32,924","68,485","107,820","46,564","43,244","57,239","15,054","43,754","22,655","22,832","33,845","18,355","22,154","58,439"
Intentional injuries,"1,397,575","978,343","419,231","1,018","13,809","26,580","329,788","359,593","105,568","73,958","68,029","1,931","16,413","21,277","136,709","126,980","37,799","32,136","45,986"
Self-harm,"791,855","513,741","278,114",0,0,"7,850","128,346","195,494","71,306","54,038","56,708",0,0,"6,209","93,929","89,169","27,406","23,699","37,702"
Interpersonal violence,"481,886","379,289","102,597",0,"7,279","11,025","159,411","142,852","30,975","17,863","9,884",0,"7,105","7,258","33,235","32,380","8,655","6,970","6,994"
Collective violence and legal intervention,"123,834","85,313","38,520","1,018","6,531","7,705","42,031","21,248","3,287","2,057","1,437","1,931","9,308","7,810","9,545","5,431","1,738","1,468","1,290"
